EMPRESA,ORIGEM,DESTINO,ANO,MES,TARIFA_MEDIA,ASSENTOS,PASS_PAGOS,ROTA
GLO,FLN,GIG,2022,11,365.08,170,140,FLN-GIG
VBL,FOR,AJU,2024,2,320.98,171,130,FOR-AJU
TAM,FLN,AJU,2024,1,1112.1,175,137,FLN-AJU
TAM,SDU,JPA,2024,11,210.69,158,187,SDU-JPA
GLO,GIG,SLZ,2022,11,672.26,135,84,GIG-SLZ
TAM,BVB,CWB,2022,10,1213.18,130,188,BVB-CWB
VBL,RBR,FLN,2022,5,1261.52,171,112,RBR-FLN
GLO,CGH,MCZ,2022,3,583.19,122,111,CGH-MCZ
AZU,MCZ,CGB,2023,2,516.56,115,85,MCZ-CGB
VBL,RBR,CGB,2023,12,422.62,121,129,RBR-CGB
TAM,NVT,REC,2023,2,643.2,167,159,NVT-REC
VBL,PVH,NVT,2024,1,373.57,139,176,PVH-NVT
GLO,CGB,JPA,2022,5,504.64,127,97,CGB-JPA
AZU,CGB,POA,2024,8,1042.99,159,179,CGB-POA
TAM,RBR,SDU,2022,7,283.0,188,118,RBR-SDU
TAM,BVB,CGR,2023,2,441.92,186,98,BVB-CGR
AZU,VCP,MAO,2022,7,767.22,186,109,VCP-MAO
TAM,PMW,FLN,2024,7,1043.2,188,117,PMW-FLN
GLO,CGH,PVH,2023,11,272.87,115,92,CGH-PVH
VBL,GYN,GIG,2023,9,382.44,110,103,GYN-GIG
VBL,CGR,CWB,2023,7,769.31,144,105,CGR-CWB
GLO,CGB,SSA,2022,5,660.94,188,155,CGB-SSA
TAM,SLZ,POA,2022,11,425.78,174,183,SLZ-POA
GLO,CGB,JPA,2022,5,1066.82,124,83,CGB-JPA
AZU,VCP,VCP,2022,2,2246.08,142,63,VCP-VCP
TAM,POA,FLN,2023,10,744.14,166,122,POA-FLN
AZU,POA,RBR,2023,2,642.61,168,107,POA-RBR
TAM,NVT,PVH,2024,1,184.66,140,113,NVT-PVH
TAM,BVB,POA,2023,7,425.51,165,150,BVB-POA
AZU,FOR,GRU,2024,7,462.85,190,101,FOR-GRU
GLO,SLZ,SSA,2022,2,447.17,137,98,SLZ-SSA
GLO,FLN,PMW,2024,4,486.04,161,53,FLN-PMW
GLO,CNF,GRU,2023,4,565.87,172,171,CNF-GRU
AZU,MCZ,GYN,2023,10,310.12,128,176,MCZ-GYN
AZU,PMW,FLN,2023,5,345.53,112,93,PMW-FLN
TAM,BEL,BVB,2022,10,768.9,144,75,BEL-BVB
TAM,BEL,SDU,2024,6,376.24,167,142,BEL-SDU
AZU,CGR,FOR,2024,3,1370.32,129,95,CGR-FOR
TAM,FLN,SLZ,2023,10,412.81,100,78,FLN-SLZ
GLO,MAO,NAT,2023,8,457.83,138,163,MAO-NAT
GLO,MCP,REC,2023,4,178.05,110,176,MCP-REC
AZU,PMW,MCZ,2023,6,1069.57,168,111,PMW-MCZ
GLO,NAT,THE,2023,7,1281.62,103,111,NAT-THE
GLO,JPA,BVB,2023,4,358.17,107,123,JPA-BVB
TAM,NAT,BSB,2023,12,781.11,102,165,NAT-BSB
AZU,SLZ,CGR,2022,4,350.91,151,105,SLZ-CGR
TAM,PMW,POA,2023,12,294.18,158,100,PMW-POA
GLO,CWB,BSB,2024,5,492.81,123,54,CWB-BSB
GLO,SDU,CWB,2023,3,372.89,146,106,SDU-CWB
AZU,FLN,REC,2023,10,544.04,187,62,FLN-REC
GLO,CNF,PVH,2023,1,451.43,161,189,CNF-PVH
TAM,PVH,NVT,2024,8,312.86,129,177,PVH-NVT
GLO,SDU,VCP,2024,12,1218.71,195,138,SDU-VCP
AZU,BSB,BEL,2022,3,278.84,137,173,BSB-BEL
GLO,MCZ,GIG,2022,12,556.16,179,72,MCZ-GIG
GLO,SLZ,CGH,2024,4,358.73,161,122,SLZ-CGH
GLO,AJU,VCP,2023,2,630.25,185,52,AJU-VCP
GLO,REC,BEL,2023,2,105.59,180,72,REC-BEL
TAM,BVB,BSB,2024,6,1197.44,111,72,BVB-BSB
AZU,THE,FOR,2024,3,517.47,171,52,THE-FOR
TAM,FLN,FOR,2022,5,460.47,164,188,FLN-FOR
TAM,BVB,SLZ,2024,2,138.69,109,145,BVB-SLZ
TAM,SDU,PMW,2024,6,540.46,163,104,SDU-PMW
VBL,CGR,MAO,2023,3,658.6,194,95,CGR-MAO
AZU,SDU,CNF,2022,4,641.71,157,51,SDU-CNF
GLO,CNF,GIG,2024,6,1043.11,159,62,CNF-GIG
AZU,VCP,BEL,2022,12,558.42,194,77,VCP-BEL
GLO,AJU,GRU,2024,6,343.78,150,143,AJU-GRU
AZU,REC,RBR,2022,3,884.76,159,161,REC-RBR
VBL,RBR,SSA,2023,2,278.81,188,160,RBR-SSA
AZU,THE,SDU,2023,12,1094.42,134,127,THE-SDU
GLO,CWB,MCP,2024,8,596.99,153,50,CWB-MCP
GLO,GYN,PVH,2024,4,914.36,184,62,GYN-PVH
PAM,SLZ,THE,2024,5,499.9,166,183,SLZ-THE
AZU,THE,MAO,2022,12,516.06,137,88,THE-MAO
AZU,FOR,MCZ,2024,10,548.6,157,87,FOR-MCZ
AZU,THE,CNF,2024,10,702.69,184,95,THE-CNF
TAM,RBR,CGB,2022,5,702.39,111,70,RBR-CGB
TAM,PMW,MAO,2024,12,195.72,139,175,PMW-MAO
TAM,POA,FLN,2022,3,654.49,104,86,POA-FLN
TAM,VCP,MCZ,2022,7,479.88,146,94,VCP-MCZ
PAM,PVH,SLZ,2024,9,297.59,134,139,PVH-SLZ
AZU,JPA,GRU,2023,5,240.83,194,131,JPA-GRU
GLO,GYN,MCP,2023,4,514.1,125,180,GYN-MCP
GLO,NVT,SDU,2023,6,330.78,159,137,NVT-SDU
AZU,VCP,JPA,2024,11,947.4,132,125,VCP-JPA
GLO,FLN,CGB,2023,9,307.67,146,120,FLN-CGB
GLO,CWB,SLZ,2022,11,253.23,157,93,CWB-SLZ
AZU,BSB,BVB,2023,9,2361.01,123,128,BSB-BVB
TAM,VCP,NVT,2023,5,460.09,104,157,VCP-NVT
TAM,GYN,MCZ,2023,5,581.3,175,70,GYN-MCZ
GLO,MCZ,FLN,2023,4,393.61,108,114,MCZ-FLN
AZU,POA,MCP,2022,7,657.28,155,116,POA-MCP
PAM,CWB,AJU,2024,4,389.7,144,104,CWB-AJU
VBL,MCZ,NAT,2023,11,233.69,131,109,MCZ-NAT
AZU,CGB,MCZ,2023,3,240.3,168,176,CGB-MCZ
AZU,PVH,NVT,2023,2,184.74,113,124,PVH-NVT
TAM,BVB,NAT,2023,12,1169.13,162,90,BVB-NAT
GLO,RBR,POA,2023,2,649.14,106,57,RBR-POA
GLO,CNF,SSA,2024,1,376.86,101,183,CNF-SSA
AZU,NAT,VCP,2022,4,384.48,154,95,NAT-VCP
TAM,SLZ,SDU,2022,2,1493.86,135,85,SLZ-SDU
AZU,BEL,GRU,2024,3,318.83,128,50,BEL-GRU
TAM,FOR,SDU,2023,8,352.08,158,129,FOR-SDU
TAM,SDU,BVB,2022,6,581.48,114,67,SDU-BVB
TAM,NVT,RBR,2022,9,904.44,163,56,NVT-RBR
TAM,CGR,VCP,2023,4,1199.19,164,107,CGR-VCP
